puid,x_coord_epsg4326,y_coord_epsg4326,species
1,122.0090729,-2.589144561,rabbitfish
2,120.690838,-2.665264893,rabbitfish
3,121.0270966,-2.765400679,rabbitfish
4,122.0743399,-2.744514972,rabbitfish
5,121.0298707,-2.897901555,rabbitfish
6,122.2094146,-2.836043471,rabbitfish
7,122.3043376,-2.953609641,rabbitfish
8,120.6027608,-2.932833003,rabbitfish
9,122.3995613,-3.053409513,rabbitfish
10,122.2809501,-3.041364005,rabbitfish
11,122.3465887,-3.089271477,rabbitfish
12,122.4271803,-3.177066408,rabbitfish
13,120.273479,-3.094764394,rabbitfish
14,122.3853799,-3.131629618,rabbitfish
15,120.5889958,-3.167029822,rabbitfish
16,122.5754649,-3.170403886,rabbitfish
17,121.0183162,-3.216054677,rabbitfish
18,122.6375433,-3.230902285,rabbitfish
19,120.9608647,-3.285823645,rabbitfish
20,122.4706599,-3.259159348,rabbitfish
21,122.5261155,-3.272222744,rabbitfish
22,122.5516554,-3.288252267,rabbitfish
23,122.4956532,-3.296488601,rabbitfish
24,120.8894456,-3.30642613,rabbitfish
25,120.9003898,-3.371241776,rabbitfish
26,122.6907138,-3.370647711,rabbitfish
27,120.4186226,-3.411717156,rabbitfish
28,122.7648286,-3.367912096,rabbitfish
29,122.8515,-3.370032849,rabbitfish
30,122.3367145,-3.346150896,rabbitfish
31,122.3098235,-3.403171802,rabbitfish
32,122.9519608,-3.386207259,rabbitfish
33,122.4819746,-3.377148535,rabbitfish
34,122.429619,-3.411118983,rabbitfish
35,122.8849088,-3.420724719,rabbitfish
36,122.9407956,-3.412827035,rabbitfish
37,122.4977408,-3.44471674,rabbitfish
38,122.4583558,-3.472810359,rabbitfish
39,122.9556586,-3.4960665,rabbitfish
40,120.8773704,-3.514526637,rabbitfish
41,122.4172951,-3.489294438,rabbitfish
42,123.0783467,-3.500508165,rabbitfish
43,122.3180976,-3.495404968,rabbitfish
44,120.4122033,-3.533682207,rabbitfish
45,122.3461527,-3.564226666,rabbitfish
46,122.9590052,-3.537493202,rabbitfish
47,123.0377398,-3.548269855,rabbitfish
48,123.1142963,-3.597527763,rabbitfish
49,123.1749294,-3.577937469,rabbitfish
50,122.2955335,-3.587359703,rabbitfish
51,120.9323739,-3.610181305,rabbitfish
52,120.911733,-3.652715291,rabbitfish
53,120.417602,-3.647575846,rabbitfish
54,120.4317344,-3.633342803,rabbitfish
55,120.9693037,-3.646019033,rabbitfish
56,122.2577657,-3.6385766,rabbitfish
57,120.9890992,-3.69646939,rabbitfish
58,121.0458921,-3.707672654,rabbitfish
59,121.1017536,-3.756704929,rabbitfish
60,121.0491558,-3.754696797,rabbitfish
61,120.4536634,-3.811212254,rabbitfish
62,121.0858798,-3.838415665,rabbitfish
63,121.0172549,-3.866882289,rabbitfish
64,121.2430756,-3.900342172,rabbitfish
65,120.4500131,-3.895283629,rabbitfish
66,120.3724447,-3.908314389,rabbitfish
67,120.447335,-4.011191026,rabbitfish
68,122.7719113,-3.978603099,rabbitfish
69,122.6869471,-3.992171339,rabbitfish
70,122.972488,-4.180813069,rabbitfish
71,120.3882784,-4.039469528,rabbitfish
72,122.6575216,-4.00692383,rabbitfish
73,123.0698528,-4.005103737,rabbitfish
74,122.7537702,-4.014201337,rabbitfish
75,123.2529747,-4.079161221,rabbitfish
76,121.1088391,-3.989634091,rabbitfish
77,121.4619105,-4.026939254,rabbitfish
78,122.7767528,-4.033662025,rabbitfish
79,121.5767862,-4.061681292,rabbitfish
80,122.7965049,-4.093118936,rabbitfish
81,122.8632054,-4.084820743,rabbitfish
82,121.3331861,-4.081065873,rabbitfish
83,121.3954056,-4.095740567,rabbitfish
84,121.1555917,-4.088237418,rabbitfish
85,121.5681851,-4.100013677,rabbitfish
86,121.4382113,-4.136069353,rabbitfish
87,121.5087841,-4.113789051,rabbitfish
88,122.8948435,-4.142725178,rabbitfish
89,121.5422701,-4.159978602,rabbitfish
90,121.4953987,-4.181631743,rabbitfish
91,121.5685859,-4.201673696,rabbitfish
92,120.405363,-4.160449529,rabbitfish
93,122.9071144,-4.182080367,rabbitfish
